id,name,description,price,stock,category,image_path
B1,Bags 312,Small backpack Switzerland,4.00,500,Bags,/products/bags/Bags312.jpg
B2,Bags 313,Big bag with cities in beige,5.00,500,Bags,/products/bags/Bags313.jpg
B3,Bags 314,Big bag with cities in blue,5.00,500,Bags,/products/bags/Bags314.jpg
B4,Bags 315,Banana bag Switzerland,3.00,500,Bags,/products/bags/Bags315.jpg
B5,Bags 316,Shoulder bag Switzerland,3.00,500,Bags,/products/bags/Bags316.jpg
B6,Bags 324,Backpack Switzerland,6.00,500,Bags,/products/bags/Bags324.jpg
B7,Bags 350,Tote bag I love Bern off-white,2.00,500,Bags,/products/bags/Bags350.jpg
B8,Bags 352,Tote bag I love Genève off-white,2.00,500,Bags,/products/bags/Bags352.jpg
B9,Bags 354,Tote bag I love Interlaken off-white,2.00,500,Bags,/products/bags/Bags354.jpg
B10,Bags 355,Tote bag I love Lausanne off-white,2.00,500,Bags,/products/bags/Bags355.jpg
B11,Bags 356,Tote bag I love Luzern off-white,2.00,500,Bags,/products/bags/Bags356.jpg
B12,Bags 358,Tote bag I love Zermatt off-white,2.00,500,Bags,/products/bags/Bags358.jpg
B13,Bags 359,Tote bag I love Zürich off-white,2.00,500,Bags,/products/bags/Bags359.jpg
B14,Bags 360,Tote bag I love Swiss off-white,2.00,500,Bags,/products/bags/Bags360.jpg
B15,Bags 361,Tote bag I love Bern black,2.00,500,Bags,/products/bags/Bags361.jpg
B16,Bags 362,Tote bag I love Crans-Montana black,2.00,500,Bags,/products/bags/Bags362.jpg
B17,Bags 363,Tote bag I love Genève black,2.00,500,Bags,/products/bags/Bags363.jpg
B18,Bags 364,Tote bag I love Gruyères off-white,2.00,500,Bags,/products/bags/Bags364.jpg
B19,Bags 366,Tote bag I love Lausanne black,2.00,500,Bags,/products/bags/Bags366.jpg
B20,Bags 367,Tote bag I love Luzern black,2.00,500,Bags,/products/bags/Bags367.jpg
B21,Bags 369,Tote bag I love Zermatt,2.00,500,Bags,/products/bags/Bags369.jpg
B22,Bags 371,Tote bag i love Swiss black,2.00,500,Bags,/products/bags/Bags371.jpg
B23,Bags 400,Backpack Switzerland Red,6.00,500,Bags,/products/bags/Bags400.jpg
B24,Bags 400b,Tote bag Bern,2.50,500,Bags,/products/bags/Bags400b.jpg
B25,Bags 401,Tote bag Lausanne,2.50,500,Bags,/products/bags/Bags401.jpg
B26,Bags 402b,Tote bag Genève,2.50,500,Bags,/products/bags/Bags402b.jpg
B27,Bags 402,Backpack Switzerland Black,6.00,500,Bags,/products/bags/Bags402.jpg
B28,Bags 403,Tote bag Interlaken,2.50,500,Bags,/products/bags/Bags403.jpg
B29,Bags 405,Tote bag Luzern,2.50,500,Bags,/products/bags/Bags405.jpg
B30,Bags 407,Tote bag Zürich,2.50,500,Bags,/products/bags/Bags407.jpg
B31,Bags 408,Tote bag Rheinfall,2.50,500,Bags,/products/bags/Bags408.jpg
B32,Bags 409,Tote bag Interlaken train,2.50,500,Bags,/products/bags/Bags409.jpg
B33,Bags 410,Tote bag Genève clock,2.50,500,Bags,/products/bags/Bags410.jpg
B34,Bags 411,Tote bag Bern bear,2.50,500,Bags,/products/bags/Bags411.jpg
B35,Bags 412,Tote bag Einstein blanc,2.50,500,Bags,/products/bags/Bags412.jpg
B36,Bags 413,Tote bag Einstein noir,2.50,500,Bags,/products/bags/Bags413.jpg
