id,name,description,price,stock,category,image_path
G1,Gadget 1,snowball cow,3.00,500,Gadget,/products/gadget/Gadget1.jpg
G2,Gadget 2,snowball cathedral Lausanne,3.00,500,Gadget,/products/gadget/Gadget2.jpg
G3,Gadget 3,snowball Zermatt,3.00,500,Gadget,/products/gadget/Gadget3.jpg
G4,Gadget 4,snowball Water jet Genève,3.00,500,Gadget,/products/gadget/Gadget4.jpg
G5,Gadget 5,snowball marmot,3.00,500,Gadget,/products/gadget/Gadget5.jpg
G6,Gadget 6,snowball alphorn,3.00,500,Gadget,/products/gadget/Gadget6.jpg
G7,Gadget 7,snowball Saint-Bernard,3.00,500,Gadget,/products/gadget/Gadget7.jpg
G8,Gadget 8,Poya mug,2.00,500,Gadget,/products/gadget/Gadget8.jpg
G9,Gadget 9,Switzerland cow mug,2.00,500,Gadget,/products/gadget/Gadget9.jpg
G10,Gadget 10,switzerland mug,2.00,500,Gadget,/products/gadget/Gadget10.jpg
G11,Gadget 11,Switzerland karabiner mug,3.00,500,Gadget,/products/gadget/Gadget11.jpg
G12,Gadget 13,i love swiss mug,2.00,500,Gadget,/products/gadget/Gadget13.jpg
G13,Gadget 14,Switzerland flag relief mug,4.00,500,Gadget,/products/gadget/Gadget14.jpg
G14,Gadget 15,sbot glass swiss flag,1.20,500,Gadget,/products/gadget/Gadget15.jpg
G15,Gadget 16,red shot glass swiss,1.20,500,Gadget,/products/gadget/Gadget16.jpg
G16,Gadget 17,shot glass swiss flag round,1.20,500,Gadget,/products/gadget/Gadget17.jpg
G17,Gadget 18,shot glass swiss flag straight,1.20,500,Gadget,/products/gadget/Gadget18.jpg
G18,Gadget 19,shot glass straight,1.20,500,Gadget,/products/gadget/Gadget19.jpg
G19,Gadget 20,shot glass round,1.20,500,Gadget,/products/gadget/Gadget20.jpg
G20,Gadget 30,Swiss ashtray,2.00,500,Gadget,/products/gadget/Gadget30.jpg
G21,Gadget 31,Cow mug,3.00,500,Gadget,/products/gadget/Gadget31.jpg
G22,Gadget 37,Cow ashtray,3.00,500,Gadget,/products/gadget/Gadget37.jpg
G23,Gadget 38,cow ashtray,3.00,500,Gadget,/products/gadget/Gadget38.jpg
G24,Gadget 39,cow porcelaine,4.00,500,Gadget,/products/gadget/Gadget39.jpg
G25,Gadget 40,kitchen set,5.00,500,Gadget,/products/gadget/Gadget40.jpg
G26,Gadget 45,Cow jar,3.00,500,Gadget,/products/gadget/Gadget45.jpg
G27,Gadget 46,i love switzerland sunglasses,5.00,500,Gadget,/products/gadget/Gadget46.jpg
G28,Gadget 47,i love valais sunglasses,5.00,500,Gadget,/products/gadget/Gadget47.jpg
G29,Gadget 49,Thermos flask swiss flask,6.00,500,Gadget,/products/gadget/Gadget49.jpg
G30,Gadget 50,thermos flask swiss flag,7.00,500,Gadget,/products/gadget/Gadget50.jpg
G31,Gadget 51,Switzerland bottle,3.00,500,Gadget,/products/gadget/Gadget51.jpg
G32,Gadget 52,Switzerland bottle,8.00,500,Gadget,/products/gadget/Gadget52.jpg
G33,Gadget 52b,swiss reusable steel water bootle,4.00,500,Gadget,/products/gadget/Gadget52b.jpg
G34,Gadget 53,Swiss leather hip flask,4.00,500,Gadget,/products/gadget/Gadget53.jpg
G35,Gadget 54,box set 4 swiss,6.00,500,Gadget,/products/gadget/Gadget54.jpg
G36,Gadget 56,poya salt and pepper,3.00,500,Gadget,/products/gadget/Gadget56.jpg
G37,Gadget 57,Swiss piggy bank,4.00,500,Gadget,/products/gadget/Gadget57.jpg
G38,Gadget 58,cow piggy bank,4.00,500,Gadget,/products/gadget/Gadget58.jpg
G39,Gadget 59,cow salt and pepper,3.00,500,Gadget,/products/gadget/Gadget59.jpg
G40,Gadget 61,i love swiss pins,0.80,500,Gadget,/products/gadget/Gadget61.jpg
G41,Gadget 62,swiss flag pins,0.80,500,Gadget,/products/gadget/Gadget62.jpg
G42,Gadget 79,poya glove oven,3.00,500,Gadget,/products/gadget/Gadget79.jpg
G43,Gadget 80,poya cloth oven black,2.50,500,Gadget,/products/gadget/Gadget80.jpg
G44,Gadget 81,Swiss poya  apron red,5.00,500,Gadget,/products/gadget/Gadget81.jpg
G45,Gadget 81b,Swiss poya  apron black,5.00,500,Gadget,/products/gadget/Gadget81b.jpg
G46,Gadget 82,poya apron white,3.00,500,Gadget,/products/gadget/Gadget82.jpg
G47,Gadget 83,poya cloth oven black,3.00,500,Gadget,/products/gadget/Gadget83.jpg
G48,Gadget 84,i love switzerland salt and pepper,3.00,500,Gadget,/products/gadget/Gadget84.jpg
G49,Gadget 85,St-bernard salt and pepper,3.00,500,Gadget,/products/gadget/Gadget85.jpg
G50,Gadget 86,Cows salt and pepper,3.00,500,Gadget,/products/gadget/Gadget86.jpg
G51,Gadget 94,double sided scarf,3.00,500,Gadget,/products/gadget/Gadget94.jpg
G52,Gadget 95,100x100cm swiss flag,4.00,500,Gadget,/products/gadget/Gadget95.jpg
G53,Gadget 96,150x150cm swiss flag,5.00,500,Gadget,/products/gadget/Gadget96.jpg
G54,Gadget 97,40x40cm swiss flag stick,1.50,500,Gadget,/products/gadget/Gadget97.jpg
G55,Gadget 98,25x25cm swiss flag stick,1.00,500,Gadget,/products/gadget/Gadget98.jpg
G56,Gadget 99,60x60cm swiss flag stick,2.00,500,Gadget,/products/gadget/Gadget99.jpg
G57,Gadget 100,Valais flag,5.00,500,Gadget,/products/gadget/Gadget100.jpg
G58,Gadget 108,hot water bottle with knitted cover,10.00,500,Gadget,/products/gadget/Gadget108.jpg
G59,Gadget 109,hot water bottle with knitted cover,10.00,500,Gadget,/products/gadget/Gadget109.jpg
G60,Gadget 115,snowball zytglogge,3.00,500,Gadget,/products/gadget/Gadget115.jpg
G61,Gadget 117,snowball lion lucerne,3.00,500,Gadget,/products/gadget/Gadget117.jpg
G62,Gadget 119,snowball grossmunster Zürich,3.00,500,Gadget,/products/gadget/Gadget119.jpg
G63,Gadget 120,snowball Chillon Montreux,3.00,500,Gadget,/products/gadget/Gadget120.jpg
G64,Gadget 121,snowball zytglogge bern,3.00,500,Gadget,/products/gadget/Gadget121.jpg
G65,Gadget 123,Snowball Rheinfall,3.00,500,Gadget,/products/gadget/Gadget123.jpg
G66,Gadget 125,winter gloves,5.00,500,Gadget,/products/gadget/Gadget125.jpg
G67,Gadget 132,Swiss tray,4.00,500,Gadget,/products/gadget/Gadget132.jpg
G68,Gadget 137,Switzerland flag hip flask,4.00,500,Gadget,/products/gadget/Gadget137.jpg
G69,Gadget 150,7cm round mirror,2.00,500,Gadget,/products/gadget/Gadget150.jpg
G70,Gadget 151,8x6cm rectangular mirror,2.00,500,Gadget,/products/gadget/Gadget151.jpg
G71,Gadget 152,5x4cm jewellery box,2.00,500,Gadget,/products/gadget/Gadget152.jpg
G72,Gadget 153,10x8cm cigaret case,3.00,500,Gadget,/products/gadget/Gadget153.jpg
G73,Gadget 153b,11x6cm manucure set,3.00,500,Gadget,/products/gadget/Gadget153b.jpg
G74,Gadget 154,Square-packet,3.00,500,Gadget,/products/gadget/Gadget154.jpg
G75,Gadget 156,11x8cm pencil bag zip ring,2.00,500,Gadget,/products/gadget/Gadget156.jpg
G76,Gadget 161,10x6cm pencil bag zip ring button,3.00,500,Gadget,/products/gadget/Gadget161.jpg
G77,Gadget 165,5x8 purse ring,3.00,500,Gadget,/products/gadget/Gadget165.jpg
G78,Gadget 166,25x18 Tissue pocket,4.00,500,Gadget,/products/gadget/Gadget166.jpg
G79,Gadget 167b,lipstick,2.00,500,Gadget,/products/gadget/Gadget167b.jpg
G80,Gadget 167,Swiss pattern apron MM,6.00,500,Gadget,/products/gadget/Gadget167.jpg
G81,Gadget 168,45x45 cm pillow cover,5.00,500,Gadget,/products/gadget/Gadget168.jpg
G82,Gadget 169,45x30 cm table mat,4.00,500,Gadget,/products/gadget/Gadget169.jpg
G83,Gadget 170,38x48 nylon bag,4.00,500,Gadget,/products/gadget/Gadget170.jpg
G84,Gadget 173,poya bag with envelope,2.50,500,Gadget,/products/gadget/Gadget173.jpg
G85,Gadget 174,38x48 cm cotton bag,6.00,500,Gadget,/products/gadget/Gadget174.jpg
G86,Gadget 175,Pins Bern,0.80,500,Gadget,/products/gadget/Gadget175.jpg
G87,Gadget 176,Pins Genève,0.80,500,Gadget,/products/gadget/Gadget176.jpg
G88,Gadget 177,Pins Valais,0.80,500,Gadget,/products/gadget/Gadget177.jpg
G89,Gadget 178,jeux de cartes,1.70,500,Gadget,/products/gadget/Gadget178.jpg
G90,Gadget 179,mini box Switzerland,2.00,500,Gadget,/products/gadget/Gadget179.jpg
G91,Gadget 180,Mirror edelweisse box,2.00,500,Gadget,/products/gadget/Gadget180.jpg
G92,Gadget 181,Pins Grisons,0.80,500,Gadget,/products/gadget/Gadget181.jpg
G93,Gadget 182,Pins Zürich,0.80,500,Gadget,/products/gadget/Gadget182.jpg
G94,Gadget 185,mini duck Yellow,2.00,500,Gadget,/products/gadget/Gadget185.jpg
G95,Gadget 185,mini duck Red,2.00,500,Gadget,/products/gadget/Gadget185.jpg
G96,Gadget 186,Large duck Yellow,2.00,500,Gadget,/products/gadget/Gadget186.jpg
G97,Gadget 186,Large duck Red,2.00,500,Gadget,/products/gadget/Gadget186.jpg
G98,Gadget 187,Bath linen Switzerland,5.00,500,Gadget,/products/gadget/Gadget187.jpg
G99,Gadget 188,Nylon bag dog with envelope,2.50,500,Gadget,/products/gadget/Gadget188.jpg
G100,Gadget 189,Nylon bag cow with envelope,2.50,500,Gadget,/products/gadget/Gadget189.jpg
G101,Gadget 202,poya grey umbrella,6.00,500,Gadget,/products/gadget/Gadget202.jpg
G102,Gadget 203,black switzerland umbrella,4.00,500,Gadget,/products/gadget/Gadget203.jpg
G103,Gadget 204,poya red umbrella,6.00,500,Gadget,/products/gadget/Gadget204.jpg
