id,name,description,price,stock,category,image_path
L1,Lighters 418,Lighter Switzerland 01,0.60,500,Lighters,/products/lighter/Lighters418.jpg
L2,Lighters 419,Lighter Switzerland 02,0.60,500,Lighters,/products/lighter/Lighters419.jpg
L3,Lighters 420,Briquet gold (briquet),3.50,500,Lighters,/products/lighter/Lighters420.jpg
L4,Lighters 423,Lighter Switzerland 03,0.60,500,Lighters,/products/lighter/Lighters423.jpg
L5,Lighters 424,Lighter Switzerland 04,0.60,500,Lighters,/products/lighter/Lighters424.jpg
L6,Lighters 425,Lighter Bern,0.60,500,Lighters,/products/lighter/Lighters425.jpg
L7,Lighters 426,Lighter Lausanne,0.60,500,Lighters,/products/lighter/Lighters426.jpg
L8,Lighters 427,Lighter Rheinfall,0.60,500,Lighters,/products/lighter/Lighters427.jpg
L9,Lighters 428,Lighter Interlaken,0.60,500,Lighters,/products/lighter/Lighters428.jpg
L10,Lighters 429,Lighter Zürich,0.60,500,Lighters,/products/lighter/Lighters429.jpg
L11,Lighters 430,Lighter Genève,0.60,500,Lighters,/products/lighter/Lighters430.jpg
L12,Lighters 431,Lighter jet flame Rheinfall,2.40,500,Lighters,/products/lighter/Lighters431.jpg
L13,Lighters 432,Lighter jet flame Lausanne,2.40,500,Lighters,/products/lighter/Lighters432.jpg
L14,Lighters 433,Lighter jet flame Zürich,2.40,500,Lighters,/products/lighter/Lighters433.jpg
L15,Lighters 434,Lighter jet flame Interlaken,2.40,500,Lighters,/products/lighter/Lighters434.jpg
L16,Lighters 435,Lighter jet flame Genève,2.40,500,Lighters,/products/lighter/Lighters435.jpg
L17,Lighters 436,Lighter jet flame Bern,2.40,500,Lighters,/products/lighter/Lighters436.jpg
L18,Lighters 437,Lighter jet flame CH 01,2.40,500,Lighters,/products/lighter/Lighters437.jpg
L19,Lighters 438,Lighter jet flame CH 02,2.40,500,Lighters,/products/lighter/Lighters438.jpg
L20,Lighters 439,Lighter jet flame CH03,2.40,500,Lighters,/products/lighter/Lighters439.jpg
L21,Lighters 440,Lighter jet flame CH04,2.40,500,Lighters,/products/lighter/Lighters440.jpg
