id,name,description,price,stock,category,image_path
M1,Magnet 1,Genève water jet relief (horloge),1.70,500,Magnet,/products/magnet/M1.jpg
M2,Magnet 2,Genève water jet relief,1.70,500,Magnet,/products/magnet/M2.jpg
M3,Magnet 3,Genève boat relief,1.70,500,Magnet,/products/magnet/M3.jpg
M4,Magnet 4,Lake boat relief,1.70,500,Magnet,/products/magnet/M4.jpg
M5,Magnet 5,Saas Fee city snow relief,1.70,500,Magnet,/products/magnet/M5.jpg
M6,Magnet 6,Lausanne City relief,1.70,500,Magnet,/products/magnet/M6.jpg
M7,Magnet 8,Swiss Bottle opener,2.00,500,Magnet,/products/magnet/M8.jpg
M8,Magnet 9,Matterhorn Valais,1.70,500,Magnet,/products/magnet/M9.jpg
M9,Magnet 10,Matterhorn,1.70,500,Magnet,/products/magnet/M10.jpg
M10,Magnet 11,Matterhorn Switzerland,1.70,500,Magnet,/products/magnet/M11.jpg
M11,Magnet 12,Zermatt Matterhorn,1.70,500,Magnet,/products/magnet/M12.jpg
M12,Magnet 13,Cartoon cow,2.00,500,Magnet,/products/magnet/M13.jpg
M13,Magnet 14,Big bell,3.00,500,Magnet,/products/magnet/M14.jpg
M14,Magnet 15,Luzern Kapellbrücke,1.70,500,Magnet,/products/magnet/M15.jpg
M15,Magnet 16,Luzern Kapellbrücke,1.70,500,Magnet,/products/magnet/M16.jpg
M16,Magnet 17,Fidget Spinner cows,2.60,500,Magnet,/products/magnet/M17.jpg
M17,Magnet 18,Lausanne-Ouchy harbour,1.70,500,Magnet,/products/magnet/M18.jpg
M18,Magnet 19,Montreux Castle boat,1.70,500,Magnet,/products/magnet/M19.jpg
M19,Magnet 20,Montreux Chillon castle,1.70,500,Magnet,/products/magnet/M20.jpg
M20,Magnet 22,Montreux Chillon castle boat,1.70,500,Magnet,/products/magnet/M22.jpg
M21,Magnet 25,Gruyères Switzerland round,1.70,500,Magnet,/products/magnet/M25.jpg
M22,Magnet 26,Gruyères Street,1.70,500,Magnet,/products/magnet/M26.jpg
M23,Magnet 27,Grimentz town Valais,1.70,500,Magnet,/products/magnet/M27.jpg
M24,Magnet 28,Grimentz town flowers,1.70,500,Magnet,/products/magnet/M28.jpg
M25,Magnet 29,Rheinfall boat,1.70,500,Magnet,/products/magnet/M29.jpg
M26,Magnet 30,Crans-Montana landscape,1.70,500,Magnet,/products/magnet/M30.jpg
M27,Magnet 32,Crans-Montana under snow,1.70,500,Magnet,/products/magnet/M32.jpg
M28,Magnet 34,Davos skiing,1.70,500,Magnet,/products/magnet/M34.jpg
M29,Magnet 35,St-Moritz cable car cabin,1.70,500,Magnet,/products/magnet/M35.jpg
M30,Magnet 36,St-Moritz skiing,1.70,500,Magnet,/products/magnet/M36.jpg
M31,Magnet 37,Morgins relief,1.70,500,Magnet,/products/magnet/M37.jpg
M32,Magnet 38,Cabin and cable car relief,1.70,500,Magnet,/products/magnet/M38.jpg
M33,Magnet 39,Cabin and cable car relief,1.70,500,Magnet,/products/magnet/M39.jpg
M34,Magnet 40,Dookie long legs black,1.70,500,Magnet,/products/magnet/M40.jpg
M35,Magnet 42,St-Bernard and puppies,1.70,500,Magnet,/products/magnet/M42.jpg
M36,Magnet 48,Marmot on green grass,1.70,500,Magnet,/products/magnet/M48.jpg
M37,Magnet 49,cuckoo clock,4.00,500,Magnet,/products/magnet/M49.jpg
M38,Magnet ASCONA,cuckoo,1.70,500,Magnet,/products/magnet/M49.jpg
M39,Magnet 53,Swiss Chocolate Red,1.70,500,Magnet,/products/magnet/M53.jpg
M40,Magnet 54,Swiss Chocolate Purple,1.70,500,Magnet,/products/magnet/M54.jpg
M41,Magnet 55,Switzerland Raclette,1.70,500,Magnet,/products/magnet/M55.jpg
M42,Magnet 56,Swiss Fondue Caquelon,1.70,500,Magnet,/products/magnet/M56.jpg
M43,Magnet 57,Dookie eating fondue,1.70,500,Magnet,/products/magnet/M57.jpg
M44,Magnet 58,Switzerland Lugano,1.70,500,Magnet,/products/magnet/M58.jpg
M45,Magnet 59,Dookie head with flower,1.70,500,Magnet,/products/magnet/M59.jpg
M46,Magnet 60,bottle-opener dookie flower,2.00,500,Magnet,/products/magnet/M60.jpg
M47,Magnet 61,bottle-opener pint,2.00,500,Magnet,/products/magnet/M61.jpg
M48,Magnet 62,Gold lingot,1.70,500,Magnet,/products/magnet/M62.jpg
M49,Magnet 63,Toblerone,1.70,500,Magnet,/products/magnet/M63.jpg
M50,Magnet 64,Poya Switzerland,1.70,500,Magnet,/products/magnet/M64.jpg
M51,Magnet 66,Moon Boot Switzerland,1.70,500,Magnet,/products/magnet/M66.jpg
M52,Magnet 67,Red Cow,1.70,500,Magnet,/products/magnet/M67.jpg
M53,Magnet 68,Rippling swiss flag,1.70,500,Magnet,/products/magnet/M68.jpg
M54,Magnet 69,Bell Switzerland,1.70,500,Magnet,/products/magnet/M69.jpg
M55,Magnet 71,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M71.jpg
M56,Magnet 72,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M72.jpg
M57,Magnet 73,cuckoo,1.70,500,Magnet,/products/magnet/M73.jpg
M58,Magnet 74,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M74.jpg
M59,Magnet 75,cuckoo,1.70,500,Magnet,/products/magnet/M75.jpg
M60,Magnet 76,cuckoo,1.70,500,Magnet,/products/magnet/M76.jpg
M61,Magnet 77,cuckoo,1.70,500,Magnet,/products/magnet/M77.jpg
M62,Magnet 78,Jungfraujoch cuckoo,1.70,500,Magnet,/products/magnet/M78.jpg
M63,Magnet 79,cuckoo,1.70,500,Magnet,/products/magnet/M79.jpg
M64,Magnet 80,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M80.jpg
M65,Magnet 81,Genève cuckoo,1.70,500,Magnet,/products/magnet/M81.jpg
M66,Magnet 82,Gruyères cuckoo,1.70,500,Magnet,/products/magnet/M82.jpg
M67,Magnet 83,Jungfraujoch,1.70,500,Magnet,/products/magnet/M83.jpg
M68,Magnet 84,Jungfraujoch,1.70,500,Magnet,/products/magnet/M84.jpg
M69,Magnet 85,Lausanne,1.70,500,Magnet,/products/magnet/M85.jpg
M70,Magnet 86,Lausanne harbour,1.70,500,Magnet,/products/magnet/M86.jpg
M71,Magnet 87,Luzern Kapellbrücke,1.70,500,Magnet,/products/magnet/M87.jpg
M72,Magnet 88,Rheinfall,1.70,500,Magnet,/products/magnet/M88.jpg
M73,Magnet 89,Schilthorn,1.70,500,Magnet,/products/magnet/M89.jpg
M74,Magnet 90,cuckoo,1.70,500,Magnet,/products/magnet/M90.jpg
M75,Magnet 91,Zürich Switzerland Limmat,1.70,500,Magnet,/products/magnet/M91.jpg
M76,Magnet 92,Piz Gloria Schilthorn,1.70,500,Magnet,/products/magnet/M92.jpg
M77,Magnet 93,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M93.jpg
M78,Magnet 94,cuckoo / Swiss Vapeur Parc MM,1.70,500,Magnet,/products/magnet/M94.jpg
M79,Magnet 95,cuckoo,1.70,500,Magnet,/products/magnet/M95.jpg
M80,Magnet 96,Chillon castle cuckoo,1.70,500,Magnet,/products/magnet/M96.jpg
M81,Magnet 97,Bern Switzerland cuckoo bear,1.70,500,Magnet,/products/magnet/M97.jpg
M82,Magnet 98,Bern Switzerland Zytglogge,1.70,500,Magnet,/products/magnet/M98.jpg
M83,Magnet 99,Morcote City,1.70,500,Magnet,/products/magnet/M99.jpg
M84,Magnet 100,Simplon Pass eagle statue,1.70,500,Magnet,/products/magnet/M100.jpg
M85,Magnet 101,Cathedral Lausanne,1.70,500,Magnet,/products/magnet/M101.jpg
M86,Magnet 102,St-Bernard and puppies,1.70,500,Magnet,/products/magnet/M102.jpg
