id,name,description,price,stock,category,image_path
PL1,Plates 240,30x15cm Metallic plate vélo,2.40,500,Plates,/products/plates/Plates240.jpg
PL2,Plates 241,30x15cm Metallic plate Gruyères,2.40,500,Plates,/products/plates/Plates241.jpg
PL3,Plates 242,30x15cm Metallic plate Rheinfall,2.40,500,Plates,/products/plates/Plates242.jpg
PL4,Plates 244,30x15cm Metallic plate Monteux,2.40,500,Plates,/products/plates/Plates244.jpg
PL5,Plates 245,30x15cm Metallic plate genève,2.40,500,Plates,/products/plates/Plates245.jpg
PL6,Plates 246,30x15cm Metallic plate 1291,2.40,500,Plates,/products/plates/Plates246.jpg
PL7,Plates 247,30x15cm Metallic plate Lausanne,2.40,500,Plates,/products/plates/Plates247.jpg
PL8,Plates 248,30x15cm Metallic plate Crans-Montana,2.40,500,Plates,/products/plates/Plates248.jpg
PL9,Plates 249,30x15cm Metallic plate Bern,2.40,500,Plates,/products/plates/Plates249.jpg
PL10,Plates 253,30x15cm Metallic plate VD,2.40,500,Plates,/products/plates/Plates253.jpg
PL11,Plates 254,30x15cm Metallic plate GE,2.40,500,Plates,/products/plates/Plates254.jpg
PL12,Plates 255,30x15 cm Metallic plate BL,2.40,500,Plates,/products/plates/Plates255.jpg
PL13,Plates 256,30x15cm Metallic plate BE,2.40,500,Plates,/products/plates/Plates256.jpg
PL14,Plates 257,30x15cm Metallic plate ZH,2.40,500,Plates,/products/plates/Plates257.jpg
PL15,Plates 258,30x15cm Metallic plate VS,2.40,500,Plates,/products/plates/Plates258.jpg
PL16,Plates 259,30x15cm Metallic plate red,2.40,500,Plates,/products/plates/Plates259.jpg
PL17,Plates 260,30x15cm Metallic plate frame,2.40,500,Plates,/products/plates/Plates260.jpg
PL18,Plates 261,30x15cm Metallic plate summit,2.40,500,Plates,/products/plates/Plates261.jpg
PL19,Plates 262,30x15cm Metallic Pedestrian CH,2.40,500,Plates,/products/plates/Plates262.jpg
PL20,Plates 263,30x15cm Metallic poya plate,2.40,500,Plates,/products/plates/Plates263.jpg
PL21,Plates 266,30x15cm Metallic plate Switzerland,2.40,500,Plates,/products/plates/Plates266.jpg
PL22,Plates 267,30x15cm Metallic plate Interlaken,2.40,500,Plates,/products/plates/Plates267.jpg
PL23,Plates 268,30x15cm Metallic plate Zürich,2.40,500,Plates,/products/plates/Plates268.jpg
PL24,Plates 269,30x15cm Metallic plate Zermatt,2.40,500,Plates,/products/plates/Plates269.jpg
PL25,Plates 335,30x15cm Metallic plate Zürich,2.40,500,Plates,/products/plates/Plates335.jpg
PL26,Plates 333,30x15cm Metallic plate Bern,2.40,500,Plates,/products/plates/Plates333.jpg
PL27,Plates 334,30x15cm Metallic plate Genève,2.40,500,Plates,/products/plates/Plates334.jpg
PL28,Plates 332,30x15cm Metallic plate Interlaken,2.40,500,Plates,/products/plates/Plates332.jpg
PL29,Plates 329,30x15cm Metallic plate Lausanne,2.40,500,Plates,/products/plates/Plates329.jpg
PL30,Plates 330,30x15cm Metallic plate Luzern,2.40,500,Plates,/products/plates/Plates330.jpg
PL31,Plates 328,30x15cm Metallic plate Valais,2.40,500,Plates,/products/plates/Plates328.jpg
PL32,Plates 331,30x15cm Metallic plate Zermatt,2.40,500,Plates,/products/plates/Plates331.jpg
PL33,Plates 335,30x15cm Metallic plate Zürich,2.40,500,Plates,/products/plates/Plates335.jpg
