id,name,description,price,stock,category,image_path
ST1,Soft Toy 88,15 cm Teddy bear,5.00,500,Soft Toy,/products/softtoy/SoftToy88.jpg
ST2,Soft Toy 89,25 cm Teddy bear,7.00,500,Soft Toy,/products/softtoy/SoftToy89.jpg
ST3,Soft Toy 90,15 cm Teddy bear,5.00,500,Soft Toy,/products/softtoy/SoftToy90.jpg
ST4,Soft Toy 235,15 cm St-Bernard soft toy,6.00,500,Soft Toy,/products/softtoy/SoftToy235.jpg
ST5,Soft Toy 236,20 cm St-Bernard soft toy MM,7.00,500,Soft Toy,/products/softtoy/SoftToy236.jpg
ST6,Soft Toy 237,15 cm St-Bernard laying soft toy,6.00,500,Soft Toy,/products/softtoy/SoftToy237.jpg
ST7,Soft Toy 238,20 cm St-Bernard laying soft toy,7.00,500,Soft Toy,/products/softtoy/SoftToy238.jpg
ST8,Soft Toy 239,20 cm marmot soft toy,7.00,500,Soft Toy,/products/softtoy/SoftToy239.jpg
ST9,Soft Toy 240,20 cm swiss collar teddy bear,6.00,500,Soft Toy,/products/softtoy/SoftToy240.jpg
ST10,Soft Toy 283,8 cm plush bear keychain,2.50,500,Soft Toy,/products/softtoy/SoftToy283.jpg
ST11,Soft Toy 236,15 cm plush bear,3.50,500,Soft Toy,/products/softtoy/SoftToy284.jpg
